ts_utc,symbol,side,lots,entry,sl,tp,retcode,ok,ticket,equity_before,equity_after
2025-08-16T20:54:24.560478+00:00,XAUUSD,SHORT,0.37284417688810134,3335.83,3336.2725714285716,3334.916142857143,10018,False,,165010.18,165010.18
2025-08-16T20:54:26.705693+00:00,BTCUSD,SHORT,0.9836718968227397,117621.87,117591.67514285714,117644.5372857143,10016,False,,165010.18,165010.18
2025-08-16T20:54:30.456186+00:00,EURUSD,LONG,75037.11087050292,1.170415,1.1700851428571428,1.1703722857142855,10018,False,,165010.18,165010.18
2025-08-16T20:55:16.637316+00:00,BTCUSD,SHORT,2.2063930172360204,117652.82,117666.28171428571,117610.17742857143,10009,True,364701563,164970.46,164970.46
2025-08-16T20:55:20.690734+00:00,XAUUSD,SHORT,0.37284417688810134,3335.83,3336.2725714285716,3334.916142857143,10018,False,,164977.84,164977.84
2025-08-16T20:55:24.111828+00:00,EURUSD,LONG,75037.11087050292,1.170415,1.1700851428571428,1.1703722857142855,10018,False,,164970.42,164970.42
2025-08-16T20:56:27.267777+00:00,EURUSD,LONG,75042.66782156398,1.170415,1.1700851428571428,1.1703722857142855,10018,False,,165020.67,165020.67
2025-08-17T06:53:55.696147+00:00,XAUUSD,SHORT,0.3730259780501413,3335.83,3336.2725714285716,3334.916142857143,10018,False,,165090.64,165090.64
2025-08-17T07:29:46.297457+00:00,BTCUSD,SHORT,1.62667411966232,117957.945,117976.21314285714,117908.05528571428,10009,True,364789623,165061.12,165061.12
2025-08-17T07:34:34.524636+00:00,BTCUSD,SHORT,1.7997681989191452,117925.07500000001,117941.59285714287,117877.73571428572,10009,True,364790267,165124.79,165124.79
2025-08-17T07:35:35.382169+00:00,BTCUSD,SHORT,1.9805680178964178,117941.79999999999,117956.80571428571,117896.81642857143,10009,True,364790363,165074.67,165074.67
2025-08-17T07:36:41.295692+00:00,BTCUSD,SHORT,0.9603860170666196,117943.8,117912.86228571429,117967.70657142857,10016,False,,165067.49,165067.49
2025-08-17T07:38:33.603616+00:00,BTCUSD,SHORT,0.933136989878359,117934.67,117902.82885714286,117959.9317142857,10016,False,,165067.49,165067.49
2025-08-17T07:38:40.488780+00:00,BTCUSD,SHORT,0.933136989878359,117934.67,117902.82885714286,117959.9317142857,10016,False,,165067.49,165067.49
2025-08-17T07:39:34.012399+00:00,BTCUSD,SHORT,2.1367959870551947,117948.205,117962.11,117904.735,10009,True,364790868,165028.87,165028.87
2025-08-17T07:41:34.973371+00:00,BTCUSD,SHORT,0.9747885844211343,117973.695,117943.22285714286,117996.81571428571,10016,False,,165021.65,165021.65
2025-08-17T07:41:39.233336+00:00,BTCUSD,SHORT,0.9747885844211343,117973.695,117943.22285714286,117996.81571428571,10016,False,,165021.65,165021.65
2025-08-17T07:41:42.118701+00:00,BTCUSD,SHORT,0.9747885844211343,117973.695,117943.22285714286,117996.81571428571,10016,False,,165021.65,165021.65
2025-08-17T07:43:03.293230+00:00,BTCUSD,LONG,0.9736565583249011,117990.845,117960.33742857142,118013.96885714284,10009,True,364791417,165004.11,165004.11
2025-08-17T07:47:51.895139+00:00,BTCUSD,SHORT,0.9932087192081734,117978.26999999999,117948.36885714285,118000.6717142857,10016,False,,164989.31,164989.31
2025-08-17T07:49:13.520573+00:00,BTCUSD,SHORT,1.0524781192890824,117979.685,117951.46771428573,117999.44842857143,10016,False,,164989.31,164989.31
2025-08-17T07:50:43.326580+00:00,BTCUSD,LONG,1.0071533869485736,118008.31,117978.82285714286,118030.0157142857,10009,True,364792030,164971.14,164971.14
2025-08-17T07:53:42.936867+00:00,BTCUSD,LONG,1.0499445165723553,117986.595,117958.31628571429,118006.42557142857,10009,True,364792192,164931.48,164931.48
2025-08-18T04:39:42.053970+00:00,EURUSD,LONG,122323.39088976571,1.1708500000000002,1.1706477142857143,1.1710034285714286,10009,True,365266717,1703745838
2025-08-18T04:39:46.159079+00:00,XAUUSD,LONG,0.18124628937796036,3354.4049999999997,3353.5025714285716,3355.596142857143,10009,True,365266751,1703745839
2025-08-18T04:40:36.990583+00:00,EURUSD,LONG,112104.86063966392,1.17086,1.1706411428571428,1.1709882857142857,10009,True,365268026,1703745840
2025-08-18T04:40:40.700712+00:00,XAUUSD,LONG,0.16698416287605206,3355.145,3354.171428571429,3356.3678571428572,10009,True,365268142,1703745841
2025-08-18T04:41:35.912225+00:00,EURUSD,LONG,127673.93806307373,1.17083,1.1706397142857143,1.1709654285714286,10009,True,365268630,1703745842
2025-08-18T04:41:39.848189+00:00,XAUUSD,LONG,0.167038328632853,3354.925,3353.962571428571,3356.1311428571425,10009,True,365268656,1703745843
2025-08-18T04:42:34.972876+00:00,EURUSD,LONG,121043.86244545516,1.17075,1.1705537142857143,1.1708944285714287,10009,True,365269533,1703745844
2025-08-18T04:42:38.550332+00:00,XAUUSD,LONG,0.16399542405730733,3355.2349999999997,3354.2765714285715,3356.4601428571427,10009,True,365269544,1703745845
2025-08-18T04:43:35.852964+00:00,EURUSD,LONG,109588.77962712305,1.17077,1.1705554285714286,1.1708918571428573,10009,True,365269795,1703745846
2025-08-18T04:43:39.633567+00:00,XAUUSD,LONG,0.16481908661895747,3355.175,3354.2365714285716,3356.345142857143,10009,True,365269890,1703745847
2025-08-18T04:44:35.423167+00:00,EURUSD,LONG,125340.83878501892,1.17069,1.1705065714285714,1.170815142857143,10009,True,365270496,1703745848
2025-08-18T04:44:39.447736+00:00,XAUUSD,LONG,0.16305902648100212,3355.325,3354.3917142857144,3356.4874285714286,10009,True,365270531,1703745849
2025-08-18T04:45:35.987090+00:00,EURUSD,LONG,126163.07710262302,1.17077,1.1705865714285713,1.1708951428571428,10009,True,365271011,1703745850
2025-08-18T04:45:39.604580+00:00,XAUUSD,LONG,0.17361816620772336,3355.605,3354.723142857143,3356.690285714286,10009,True,365271077,1703745851
2025-08-18T04:46:35.915000+00:00,EURUSD,LONG,115982.1041957107,1.1709100000000001,1.1707057142857142,1.1710164285714286,10009,True,365272248,1703745852
2025-08-18T04:46:39.514251+00:00,XAUUSD,LONG,0.17695907314708256,3356.105,3355.2202857142856,3357.144571428571,10009,True,365272278,1703745853
2025-08-18T04:47:35.643895+00:00,EURUSD,LONG,133205.8133972377,1.1709399999999999,1.1707608571428572,1.1710587142857143,10009,True,365272905,1703745854
2025-08-18T04:47:39.215121+00:00,XAUUSD,LONG,0.19158547408565255,3355.495,3354.670857142857,3356.5437142857145,10009,True,365272915,1703745855
2025-08-18T04:48:36.066760+00:00,EURUSD,LONG,136022.0461164299,1.1709800000000001,1.1708034285714286,1.1710948571428572,10009,True,365273663,1703745856
2025-08-18T04:48:39.674878+00:00,XAUUSD,LONG,0.19145096324692779,3356.6549999999997,3355.8348571428573,3357.6477142857143,10009,True,365273680,1703745857
2025-08-18T04:49:35.942547+00:00,EURUSD,LONG,123639.83333316732,1.1708500000000002,1.170664857142857,1.1709777142857143,10009,True,365274136,1703745858
2025-08-18T04:49:39.927288+00:00,XAUUSD,LONG,0.1841927472334966,3356.3149999999996,3355.501714285714,3357.297428571428,10009,True,365274142,1703745859
2025-08-18T04:50:35.303019+00:00,EURUSD,LONG,128915.07317049222,1.1708500000000002,1.1706742857142856,1.1709635714285715,10009,True,365274704,1703745860
2025-08-18T04:50:38.902348+00:00,XAUUSD,LONG,0.18479290748898086,3356.635,3355.824285714286,3357.613571428571,10009,True,365274725,1703745861
