date,trades,realized,swap,commission,net,win_rate
2025-10-27,296,135.37000000000003,0.0,0.0,135.37000000000003,0.22635135135135134
2025-10-28,445,354.31,-3.87,0.0,350.44,0.2539325842696629
2025-10-29,596,-579.73,-13.36,0.0,-593.09,0.174496644295302
2025-10-30,88,101.07000000000001,-4.979999999999999,0.0,96.09,0.45454545454545453
2025-10-31,65,550.64,9.74,0.0,560.38,0.8769230769230769
