timestamp,symbol,side,lots,entry,sl,tp,score,confluence,rr_estimate,weighted_vote,tracker_vote,retcode
2026-01-02T07:04:01.601104+00:00,AUDUSD,LONG,2.35,0.66948,0.66848,0.6711157142857143,7.699999999999999,5,1.6357142857142943,7.699999999999999,0.5007138924623955,10009
2026-01-02T07:56:22.231224+00:00,AUDUSD,LONG,2.31,0.66938,0.6683535714285714,0.6710907142857143,7.699999999999999,5,1.6666666666667749,7.699999999999999,0.4017116008960153,10009
2026-01-02T08:03:00.649910+00:00,AUDUSD,LONG,2.36,0.66964,0.66864,0.6713042857142858,10.7,5,1.6642857142857832,10.7,0.6458909362839204,10009
2026-01-02T08:12:25.178171+00:00,AUDUSD,LONG,2.33,0.66984,0.6688253571428571,0.6715310714285715,11.7,5,1.66666666666663,11.7,0.6745031662591793,10009
2026-01-02T08:20:09.882694+00:00,AUDUSD,LONG,2.19,0.67012,0.6690207142857143,0.6719521428571429,11.7,5,1.6666666666665992,11.7,0.6755740689149007,10009
2026-01-02T08:36:19.936439+00:00,AUDUSD,LONG,2.19,0.66976,0.6686607142857143,0.6715921428571429,10.7,5,1.6666666666665992,10.7,0.6529380912862501,10009
2026-01-02T08:47:04.370973+00:00,AUDUSD,LONG,2.19,0.66999,0.6688907142857142,0.6718221428571428,12.7,5,1.6666666666665992,12.7,0.776287400408489,10009
2026-01-02T09:01:23.289612+00:00,AUDUSD,LONG,2.24,0.67008,0.6690107142857142,0.6718621428571429,10.7,5,1.6666666666665628,10.7,0.6588235294117648,10009
2026-01-02T09:14:57.184993+00:00,AUDUSD,LONG,2.15,0.67042,0.6692875,0.6723075000000001,9.7,5,1.666666666666732,9.7,0.6375000000000001,10009
2026-01-02T11:09:25.408904+00:00,BTCUSD,LONG,1.55,89678.6624,89160.76168571429,90541.83025714285,9.7,5,1.6666666666666479,9.7,0.5430021433734592,10009
2026-01-02T12:57:47.870066+00:00,NAS100,LONG,17.04,25531.32,25473.133928571428,25628.296785714287,10.1,5,1.6666666666666667,10.1,0.6268873086377922,10009
